Settlement,Population,Estate,Trade,Tags,Notes,Coordinates,Province_2515,Province_2512,Province_2276,Ruler_2515,Ruler_2512,Ruler_2276,wiki_url,wiki_title,wiki_description,wiki_image
Aiir,,,,,,,,,,,"Sultan Hamqa the Divine, Suzerain of Sadiz and Regal of all Kus",,,,,
Al-Haikk,61067,,,,,,,,,,,,,,,
Amhabal,,,,,,,,,,,,,,,,
Arjijil,,,,,,,,,,,,,,,,
Bel-Aliad,,,,,,,,,,,,,,,,
Bur-Shitrak,,,,,,,,,,,,,,,,
Copher,45410,,,,,,,,,,,,,,,
Dakisir,,,,,,,,,,,,,,,,
Djambiya,,,,,,,,,,,,,,,,
El-Kalabad,,,,,,,,,,,,,,,,
El-Khabbath,,,,,,,,,,,,,,,,
Fyrus,,,,,,,,,,,,,,,,
Gobi-Alain,,,,,,,,,,,,,,,,
Jabal Sinjar,,,,,,,,,,,,,,,,
Kadira,,,,,,,,,,,,,,,,
Kamt,,,,,,,,,,,,,,,,
Ka-Sabar,,,,,,,,,,,,,,,,
Kust,,,,,"Located in the southwest of Araby, it is a vassal of the city of Aiir. Its ruler is Hamqa the Divine, Regal of Kust",,,,,,,,,,,
Lashiek,64731,,,,,,,,,,,,,,,
Mahabbah,,,,,,,,,,,,,,,,
Martek,,,,,,,,,,,,,,,,
Meknes,,,,,"on the coast, port",,,,,,,,,,,
Ras Karim,,,,,A port some hundred leagues east of Copher,,,,,,,,,,,
Sadiz,,,,,,,,,,,,,,,,
Sanaa,,,,,,,,,,,,,,,,
Songhai,,,,,,,,,,,,,,,,
Sud,,,,,,,,,,,,,,,,
Sudrat,,,,,,,,,,,,,,,,
Teshert,,,,,,,,,,,,,,,,
Zarekten,,,,,,,,,,,,,,,,
