Settlement,Population,Estate,Trade,Tags,Notes,Coordinates,Province_2515,Province_2512,Province_2276,Ruler_2515,Ruler_2512,Ruler_2276,wiki_url,wiki_title,wiki_description,wiki_image
Bilbali,38439,,,"""source:4eSoC""",,,Bilbali,,,,,,,,,
Magritta,47188,,,"""source:4eSoC""",,,Magritta,,,,,,,,,
Los Cabos,3500,,,"""source:MoWC""",,,,,,,,,,,,
Nerja,3000,,,"""source:MoWC""",,,,,,,,,,,,
San Pedro del Sur,2500,,,"""source:MoWC""",,,,,,,,,,,,
Belmez,8000,,,"""source:MoWC""",,,,,,,,,,,,
Ubrique,4000,,,"""source:MoWC""",,,,,,,,,,,,
Torrosa,3000,,,"""source:MoWC""",,,,,,,,,,,,
Jávea,8000,,,"""source:MoWC""",,,,,,,,,,,,
Almagora,5000,,,"""source:MoWC""",,,,,,,,,,,,
Sitges,5000,,,"""source:MoWC""",,,,,,,,,,,,
Águilas ,6000,,,"""source:MoWC""",,,,,,,,,,,,
Nuja,3000,,,"""source:TWW3""",,,,,,,,,,,,
San Luis,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Barbosa,3000,,,"""source:MoWC""",,,,,,,,,,,,
Diamantierra,6000,,,"""source:MadAlfred""",,,,,,,,,,,,
Almyria,3000,,,"""souce:BrianCraig""",,,,,,,,,,,,
Sahagún,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Potes,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Las Burgas,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Azuara,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Bajena,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Vizcaya,3000,,,"""source:MoWC""",,,,,,,,,,,,
Alquézar,3000,,,"""source:MoWC""",,,,,,,,,,,,
Barsellón,3000,,,"""source:1e""",,,,,,,,,,,,
Guadanar,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Durango,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Zaragoz,12000,,,"""source:Zaragoz""",,,,,,,,,,,,
Sierpes,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Gualcázar,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Larghoz,6000,,,"""source:MonstArc""",,,,,,,,,,,,
Ávila,3000,,,"""source:MoWC""",,,,,,,,,,,,
Porto Espejo,3000,,,"""source:MoWC""",,,,,,,,,,,,
Molinero,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Monteñas,3000,,,"""source:TWW3""",,,,,,,,,,,,
Cebreros,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Siernos,3000,,,"""source:Vermintide2""",,,,,,,,,,,,
Verín,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Muros,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Jaraíz,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Murum,3000,,,"""source:MadAlfred""",,,,,,,,,,,,
Graus,3000,,,"""source:MoWC""",,,,,,,,,,,,
Astorias,3000,,,"""source:WDM""",,,,,,,,,,,,
Geulata,3000,,,"""source:MonstArc""",,,,,,,,,,,,
Santa Bernadette,3000,,,"""source:MoWC""",,,,,,,,,,,,
