Settlement,Type,Estate,Trade,Tags,Notes,Coordinates,Province_2515,Province_2512,Province_2276,Ruler_2515,Ruler_2512,Ruler_2276,wiki_url,wiki_title,wiki_description,wiki_image
Karaz-a-Karak,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Zhufbar,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Karak Kadrin,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Khazid Rhyn,Khazid (Town),,,source:4eLoSaS,,,,,,,,,,,,
Karak Eight Peaks,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Karak Azul,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Kazad Migdhal,Kazad (Fortress),,,source:4eLoSaS,,,,,,,,,,,,
Barak Varr,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Khazid Varrwyndak,Khazid (Town),,,source:4eLoSaS,,,,,,,,,,,,
Karak Hirn,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Grung Rakadem,Grung (Mining Settlement),,,source:4eLoSaS,,,,,,,,,,,,
Khazid Grentaz,Khazid (Town),,,source:4eLoSaS,,,,,,,,,,,,
Khazid Svarkungor,Khazid (Town),,,source:4eLoSaS,,,,,,,,,,,,
Karak Angazbar,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Grung Tepskaf,Grung (Mining Settlement),,,source:4eLoSaS,,,,,,,,,,,,
Kazad Nardak,Kazad (Fortress),,,source:4eLoSaS,,,,,,,,,,,,
Migdhal Vongalbavak,Kazad (Fortress),,,source:4eLoSaS,,,,,,,,,,,,
Karak Gantuk,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Grung Trag,Grung (Mining Settlement),,,source:4eLoSaS,,,,,,,,,,,,
Khazid Hafak,Khazid (Town),,,source:4eLoSaS,,,,,,,,,,,,
Kazad Zhum,Kazad (Fortress),,,source:4eLoSaS,,,,,,,,,,,,
Karak Izor,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Grung Byrn,Grung (Mining Settlement),,,source:4eLoSaS,,,,,,,,,,,,
Hochstadt,Khazid (Town),,,source:4eLoSaS,,,,,,,,,,,,
Khazid Algikarag,Khazid (Town),,,source:4eLoSaS,,,,,,,,,,,,
Khazid Nekewukaz,Khazid (Town),,,source:4eLoSaS,,,,,,,,,,,,
Karak Eksfilaz,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Grung Mizpal,Grung (Mining Settlement),,,source:4eLoSaS,,,,,,,,,,,,
Kazad Frukund,Kazad (Fortress),,,source:4eLoSaS,,,,,,,,,,,,
Karak Bhufdar,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Karak Kaferkammaz,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Grung Wyruvalk,Grung (Mining Settlement),,,source:4eLoSaS,,,,,,,,,,,,
Mont Grace,Umgalkhazid (Human Town),,,source:4eLoSaS,,,,,,,,,,,,
Karak Grom,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Domatburg,Umgalkhazid (Human Town),,,source:4eLoSaS,,,,,,,,,,,,
Kazad Sedazund,Kazad (Fortress),,,source:4eLoSaS,,,,,,,,,,,,
Khazid Urbaz,Khazid (Town),,,source:4eLoSaS,,,,,,,,,,,,
Karak Skivark (Grimhold),Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Karak Norn,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Bergheim,Umgalkhazid (Human Town),,,source:4eLoSaS,,,,,,,,,,,,
Khazid Thran,Khazid (Town),,,source:4eLoSaS,,,,,,,,,,,,
Karak Azgaraz,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
Grimbringrungaz,Grung (Mining Settlement),,,source:4eLoSaS,,,,,,,,,,,,
Karak Ziflin,Karak (Great Hold),,,source:4eLoSaS,,,,,,,,,,,,
