Settlement,Population,Estate,Trade,Tags,Notes,Coordinates,Province_2515,Province_2512,Province_2276,Ruler_2515,Ruler_2512,Ruler_2276,wiki_url,wiki_title,wiki_description,wiki_image
Ardkha,,,,"""source:RotIQ""",,,,,,,,,,,,
Baiyn,,,,"""source:TOW""",,,Eastern Oblast,,,,,,,,,
Belava,,,,"""source:RotIQ""",,,,,,,,,,,,
Belev,740,,"Fur, Ore","""source:StS#5""",Located along the South Urskoy in the foothills.,,,,,,,,,,,
Bolgasgrad,3348,,"Agriculture, Trade","""source:RotIQ; source:StS#5""",Recently proclaimed independent princedom,,Eastern Oblast,,,,,,https://warhammerfantasy.fandom.com/wiki/Bolgasgrad,Bolgasgrad,"Bolgasgrad is a fairly large stanitsa, dominated by Gospodars and proud of its rota of winged lancers. Its boyars have a tradition of strong-minded independence from the central authorities, as well as a history of being replaced with appointees from Kislev.",https://static.wikia.nocookie.net/warhammerfb/images/7/7d/Bolgasgrad.png/revision/latest?cb=20180830145901
Castle Alexandronov,,,,"""source:TWW3, source:1eSRiK""",,,Western Oblast,,,,,,https://warhammerfantasy.fandom.com/wiki/Castle_Alexandronov,Castle Alexandronov,"Castle Alexandronov stands to the North of Erengrad, on the borders of the Troll country. Construction of the castle was originally ordered by the great Tzar Alexandr Njevski. He chose the site guided by a dream in which Boris Ursa, the Forever Tzar of Kislev, directed him to build a great stronghold for Kislev, or else the land would be lost in a war against the greatest evil of all.",
Chaglev,,,,"""source:RotIQ""",,,,,,,,,,,,
Chazovsk,870,,Agriculture,"""source:StS#5""",Translynsk town,,,,,,,,,,,
Chebokov,2971,,,"""source:TOW""",,,Western Oblast,,,,,,,,,
Chernigov,,,,"""source:TOW""",,,Southern Oblast,,,,,,,,,
Chernozavtra,,,,"""source:1eSRiK""",,,"""Wheatlands"" ?",,,,,,,,,
Choika,,,,"""source:WFB6e""",,,tbd,,,,,,,,,
Chzovich,,,,"""source:RotIQ""",,,,,,,,,,,,
Dagnyper,,,,"""source:RotIQ""",,,,,,,,,,,,
Deghov,,,,"""source:RotIQ""",,,,,,,,,,,,
Dhazhyn,,,,"""source:TWW3, source:TOW""",,,Troll Country,,,,,,,,,
Dubna,450,,"Goats, Agriculture","""source:StS#5""",,,,,,,,,,,,
Dushyka,,,,"""source:TWW3""",,,Northern Oblast,,,,,,,,,
Emsk,5844,,,"""source:TOW""",,,Western Oblast,,,,,,,,,
Enisov,,,,"""source:RotIQ""","Isolated settlement, not a part of any Oblast",,,,,,,,,,,
Erengrad,34512,,"Trade, Government, Boatbuilding, Fishing","""""source:RotIQ""; source:StS#5""",Independent Kislevite kingdom and the land’s major port.,,Western Oblast,,,,,,https://warhammerfantasy.fandom.com/wiki/Erengrad,Erengrad,"Erengrad, originally called Norvard, is the primary trading port of the northern nation of Kislev. Erengrad is second only to the independent mercantile city-state of Marienburg as a trading port for the northern Old World, and sits at the mouth of the River Lynsk. It is the Kislevite city most likely to be visited and populated by other Old Worlders.",https://static.wikia.nocookie.net/warhammerfb/images/7/7c/City-of-erengrad.jpg/revision/latest?cb=20140809165141
Fort Jakova,,,,"""source:TWW3""",,,Eastern Oblast,,,,,,,,,
Fort Kaminski,,,,"""source:TOW""",,,Northern Oblast,,,,,,,,,
Fort Ostrosk,,,,"""source:TWW3, source:TOW""",,,Northern Oblast,,,,,,,,,
Fort Skaehold,,,,"""source:TOW""",,,Troll Country,,,,,,,,,
Fort Straghov,,,,"""source:TWW3, source:TOW""",,,Troll Country,,,,,,,,,
Fort Ulfegzny,,,,"""source:TOW""",,,Troll Country,,,,,,,,,
Fort Urslo,,,,"""source:TOW""",,,Northern Oblast,,,,,,,,,
Gerslev,7127,,,"""source:RotIQ""",,,Southern Oblast,,,,,,,,,
Great Rasputia,,,,"""source:TOW""",,,"""Eastern Steppes"" ?",,,,,,,,,
Iaryn,,,,"""source:RotIQ""",,,,,,,,,,,,
Igerov,,,,"""source:TWW3""",,,Eastern Oblast,,,,,,,,,
Irinasgrad,6337,,,"""source:TOW""",,,Southern Oblast,,,,,,,,,
Irjisara,,,,"""source:RotIQ""",,,,,,,,,,,,
Jydske,550,,"Fishing, Agriculture","""source:StS#5""",Ferry,,,,,,,,,,,
Kacirk,,,,"""source:RotIQ""",,,,,,,,,,,,
Kalinora,,,,"""source:RotIQ""",,,,,,,,,,,,
Kamysh,,,,"""source:RotIQ""",,,,,,,,,,,,
Kislev,40482,,"Trade, Government","""source:RotIQ; source:StS#5""",Capital city of Imperial Kislev,,Southern Oblast,,,,,,https://warhammerfantasy.fandom.com/wiki/Kislev_(City),Kislev,"Kislev, also sometimes called Kislev City, originally known as the Imperial trading town of Pelzburg, and later as the Ungol settlement of Dorogo, is the capital city of the Tzardom of Kislev.",https://static.wikia.nocookie.net/warhammerfb/images/e/e7/Total-War-Warhammer-3-Kislev-City.jpg/revision/latest/scale-to-width-down/1000?cb=20241113074106
Kobrin,560,,"Fishing, Pigs, Agriculture","""source:StS#5""",Ferry,,,,,,,,,,,
Krakjunov,,,,"""source:WFB6e""",,,tbd,,,,,,,,,
Krasicyno,,,,"""source:RotIQ""",,,Northern Oblast,,,,,,,,,
Krovash,420,,"Fur, Agriculture","""source:StS#5""",Translynsk town,,,,,,,,,,,
Kyrnoka,,,,"""source:TOW""",,,Southern Oblast,,,,,,,,,
Kzarla,,,,"""source:RotIQ""",,,,,,,,,,,,
Leblya,3985,,,"""source:TWW3, source:TOW""",,,Troll Country,,,,,,,,,
Leszko,450,,"Timber, Sheep, Agriculture","""source:StS#5""",Ferry,,,,,,,,,,,
Maja Uvemny,2446,,,"""source:TOW""",,,Western Oblast,,,,,,,,,
Mazhorod,,,,"""source:WFB6e""",,,tbd,,,,,,,,,
Milkavala,4665,,,"""source:RotIQ""",,,Western Oblast,,,,,,,,,
Mirka,,,,"""source:RotIQ""",,,,,,,,,,,,
Moraveny,1558,,,"""source:TOW""",,,Eastern Oblast,,,,,,,,,
Murmagorod,390,,"Fur, Agriculture","""source:StS#5""",Translynsk town,,,,,,,,,,,
Nekoltra,,,,"""source:RotIQ""",,,tbd,,,,,,,,,
Nidzica,600,,Agriculture,"""source:StS#5""",Ferry across Urskoy,,,,,,,,,,,
Novchozy,2101,,,"""source:TWW3, source:TOW""",,,Eastern Oblast,,,,,,,,,
Opolensk,800,,"Timber, Fur","""source:StS#5""",Ferry,,,,,,,,,,,
Petragrad,780,,"Timber, Cattle, Agriculture","""source:StS#5""",,,,,,,,,,,,
Pinsk,1600,,"Agriculture, Livestock, Cheese","""source:StS#5""",Famous for its sharp and strongly “aromatic” cheeses,,,,,,,,,,,
Plesk,,,,"""source:TWW3""",,,Eastern Oblast,,,,,,,,,
Praag,26012,,"Trade, Government","""source:RotIQ; source:StS#5""","Independent Kislevite kingdom, bridge over North Lynsk",,Eastern Oblast,,,,,,https://warhammerfantasy.fandom.com/wiki/Praag,Praag,"Praag, also known as the ""Cursed City"", is the largest and most heavily fortified city of northern Kislev, earning itself the title of ""Bastion of the North"". Though rebuilt by the stubborn Kislevites of mostly ethnic Ungol origins who call it home again and again, Praag can never shake off the legacy of its endless sieges and the destruction left behind by the constant assaults of the Norscans and other forces of Chaos.",https://static.wikia.nocookie.net/warhammerfb/images/e/ec/Map_City_Praag.jpg/revision/latest/scale-to-width-down/1000?cb=20130829165723
Pradeshynya,3412,,,"""source:RotIQ""",,,,,,,,,,,,
