name,type,tags,notes,wiki_url,wiki_title,wiki_description,wiki_image
Tempelwijk,City Districts,source:1eM:SDtR,,,,,
Elfsgemeente,City Districts,source:1eM:SDtR,,,,,
Suiddock,City Districts,source:1eM:SDtR,,,,,
Doodkanaal,City Districts,source:1eM:SDtR,,,,,
Ostmuur,City Districts,source:1eM:SDtR,,,,,
Rijkspoort,City Districts,source:1eM:SDtR,,,,,
Kruiersmuur,City Districts,source:1eM:SDtR,,,,,
Paleisbuurt,City Districts,source:1eM:SDtR,,,,,
Noordmuur,City Districts,source:1eM:SDtR,,,,,
South Bank,City Districts,,,,,,
East End,City Districts,,,,,,
City North,City Districts,,,,,,
Neuestadt,City Districts,,,,,,
Der Halbinsel,City Districts,,,,,,
Faulestadt,City Districts,,,,,,
Altestadt,City Districts,,,,,,
Ongediertefort,Forts and Castles,,,,,,
Fort Oosterbank,Forts and Castles,,,,,,
Manannsfort,Forts and Castles,,,,,,
Westerfort,Forts and Castles,,,,,,
Fest Uberbögen,Forts and Castles,,,,,,
Schloss von Wittgenstein,Forts and Castles,,,,,,
Schloss Gramlet,Forts and Castles,,,,,,
Schloss Duhntief,Forts and Castles,,,,,,
Lengernschloss,Forts and Castles,,,,,,
Schloss Anbolt,Forts and Castles,,,,,,
Schloss Visen,Forts and Castles,,,,,,
Achernschloss,Forts and Castles,,,,,,
Feste Flusswacht,Forts and Castles,,,,,,
Hammerschlag Schloss,Forts and Castles,,,,,,
Feste Diesdorf,Forts and Castles,,,,,,
Turm Taalford,Forts and Castles,,,,,,
Schloss Feldenstedt,Forts and Castles,,,,,,
Blinschloss,Forts and Castles,,,,,,
Schloss Grauenburg,Forts and Castles,,,,,,
Schloss von Drakenburg,Forts and Castles,,,,,,
Hesselschloss,Forts and Castles,,,,,,
Hohenwand,Forts and Castles,,,,,,
Schloss Sturmdunkel,Forts and Castles,,,,,,
Ostervorbergschloss,Forts and Castles,,,,,,
Schevingerschloss,Forts and Castles,,,,,,
Festung Reiksfang,Forts and Castles,,,,,,
Walfenburg,Forts and Castles,,,,,,
Reikwacht,Forts and Castles,,,,,,
Schloss Nordenfast,Forts and Castles,,,,,,
Fennturm,Forts and Castles,,,,,,
Klauenschloss,Forts and Castles,,,,,,
Holswigburg,Forts and Castles,,,,,,
Schloss Rechtlich,Forts and Castles,,,,,,
Schloss Bretzen,Forts and Castles,,,,,,
