name,type,tags,notes,Canon,Wiki?,wiki_url,wiki_title,wiki_description,wiki_image
Tempelwijk,City Districts,source:1eMSDtR,Marienburg,TRUE,FALSE,,,,
Elfsgemeente,City Districts,source:1eMSDtR,Marienburg,TRUE,FALSE,,,,
Suiddock,City Districts,source:1eMSDtR,Marienburg,TRUE,FALSE,,,,
Doodkanaal,City Districts,source:1eMSDtR,Marienburg,TRUE,FALSE,,,,
Ostmuur,City Districts,source:1eMSDtR,Marienburg,TRUE,FALSE,,,,
Rijkspoort,City Districts,source:1eMSDtR,Marienburg,TRUE,FALSE,,,,
Kruiersmuur,City Districts,source:1eMSDtR,Marienburg,TRUE,FALSE,,,,
Paleisbuurt,City Districts,source:1eMSDtR,Marienburg,TRUE,FALSE,,,,
Noordmuur,City Districts,source:1eMSDtR,Marienburg,TRUE,FALSE,,,,
South Bank,City Districts,,Altdorf,TRUE,FALSE,,,,
East End,City Districts,,Altdorf,TRUE,FALSE,,,,
City North,City Districts,,Altdorf,TRUE,FALSE,,,,
Neuestadt,City Districts,,Nuln,TRUE,FALSE,,,,
Der Halbinsel,City Districts,,Nuln,TRUE,FALSE,,,,
Faulestadt,City Districts,,Nuln,TRUE,FALSE,,,,
Altestadt,City Districts,,Nuln,TRUE,FALSE,,,,
Ongediertefort,Forts and Castles,,,FALSE,FALSE,,,,
Fort Oosterbank,Forts and Castles,,,FALSE,FALSE,,,,
Manannsfort,Forts and Castles,,,FALSE,FALSE,,,,
Westerfort,Forts and Castles,,,FALSE,FALSE,,,,
Fest Uberbögen,Forts and Castles,,,FALSE,FALSE,,,,
Castle Wittgenstein,Forts and Castles,,Schloss von Wittgenstein,TRUE,FALSE,,,,
Schloss Gramlet,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Duhntief,Forts and Castles,,,FALSE,FALSE,,,,
Lengernschloss,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Anbolt,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Visen,Forts and Castles,,,FALSE,FALSE,,,,
Achernschloss,Forts and Castles,,,FALSE,FALSE,,,,
Feste Flusswacht,Forts and Castles,,,FALSE,FALSE,,,,
Hammerschlag Schloss,Forts and Castles,,,FALSE,FALSE,,,,
Feste Diesdorf,Forts and Castles,,,FALSE,FALSE,,,,
Turm Taalford,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Feldenstedt,Forts and Castles,,,FALSE,FALSE,,,,
Blinschloss,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Grauenburg,Forts and Castles,,,FALSE,FALSE,,,,
Schloss von Drakenburg,Forts and Castles,,,FALSE,FALSE,,,,
Hesselschloss,Forts and Castles,,,FALSE,FALSE,,,,
Hohenwand,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Sturmdunkel,Forts and Castles,,,FALSE,FALSE,,,,
Ostervorbergschloss,Forts and Castles,,,FALSE,FALSE,,,,
Schevingerschloss,Forts and Castles,,,FALSE,FALSE,,,,
Festung Reiksfang,Forts and Castles,,,FALSE,FALSE,,,,
Walfenburg,Forts and Castles,,,FALSE,FALSE,,,,
Reikwacht,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Nordenfast,Forts and Castles,,,FALSE,FALSE,,,,
Fennturm,Forts and Castles,,,FALSE,FALSE,,,,
Klauenschloss,Forts and Castles,,,FALSE,FALSE,,,,
Holswigburg,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Rechtlich,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Bretzen,Forts and Castles,,,FALSE,FALSE,,,,
Neuautlerburg,Forts and Castles,,,FALSE,FALSE,,,,
Bernsteinschloss,Forts and Castles,,,FALSE,FALSE,,,,
Helspire,Forts and Castles,,,FALSE,FALSE,,,,
Blackstone Tower,Forts and Castles,,,TRUE,FALSE,,,,
Caslte Drachenfels,Forts and Castles,,Schloss Drachenfels,TRUE,TRUE,,,,
Blood Keep,Forts and Castles,,Blutturm,TRUE,TRUE,https://warhammerfantasy.fandom.com/wiki/Blood_Keep,,,
Turm Lebendorf,Forts and Castles,,,FALSE,FALSE,,,,
Turm Königstein,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Tempelhof,Forts and Castles,,,TRUE,FALSE,,,,
Vanhaldenschlosse,Forts and Castles,,,TRUE,FALSE,,,,
Konradswacht,Forts and Castles,,,TRUE,FALSE,,,,
Fest Bracher,Forts and Castles,,,TRUE,FALSE,,,,
Nachtschloss,Forts and Castles,,,TRUE,FALSE,,,,
Gallerschloss,Forts and Castles,,,TRUE,FALSE,,,,
Burg Senkhof,Forts and Castles,,,TRUE,FALSE,,,,
Castle Drakenhof,Forts and Castles,,Schloss Drakenhof,TRUE,TRUE,https://warhammerfantasy.fandom.com/wiki/Castle_Drakenhof,,,
Haus Rattenburg,Forts and Castles,,,FALSE,FALSE,,,,
Burg Wartenhof,Forts and Castles,,,FALSE,FALSE,,,,
Zherdenschloss,Forts and Castles,,,FALSE,FALSE,,,,
Burg Regak,Forts and Castles,,,FALSE,FALSE,,,,
Turm Crannach,Forts and Castles,,,FALSE,FALSE,,,,
Melkiorsturm,Forts and Castles,,,FALSE,FALSE,,,,
Burg Bylorhof,Forts and Castles,,,FALSE,FALSE,,,,
Burg Szlechin,Forts and Castles,,,FALSE,FALSE,,,,
Merwillsturm,Forts and Castles,,,FALSE,FALSE,,,,
Burg Kleindorf,Forts and Castles,,,FALSE,FALSE,,,,
Schloss von Diehl,Forts and Castles,,,FALSE,FALSE,,,,
Festung Heldenhame,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Obelstein,Forts and Castles,,,FALSE,FALSE,,,,
Fort Denkh,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Middenstag,Forts and Castles,location:Empire,Castle Middenstag,FALSE,FALSE,,,,
Schloss Midfast,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Jägerfestung,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Brass Keep,Forts and Castles,location:Empire,,TRUE,TRUE,,,,
Nordenwacht,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Jutongard,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Schloss Geschler,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Fort Blackfire,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Altturm,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Sternschloss,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Sigmarstein,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Festung Immelscheid,Forts and Castles,location:Empire,Fort Immelsheid,FALSE,FALSE,,,,
Turm Lasterhaft,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Schloss Merwinwald,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Burg Totenkopf,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Holzkrugburg,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Thurgenburg,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Schloss Linter,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Schloss Bildhofen,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Rottefachturm,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Rijker's Isle,Forts and Castles,location:Westerland,,FALSE,FALSE,,,,
Bokenhof,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Castle Lenkster,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Schloss Ferlangst,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Schleuselschloss,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Höhewacht Tower,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Frugelschloss,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Grubewache Castle,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Castle Grautal,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Fort Oberstyre,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Kustlandhaus,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Fort Neustift,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Festung Dunkelrabe,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Festung Wolfsrudel,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Jagdschloss Wisent,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Taal's Horn Keep,Forts and Castles,location:Empire,,FALSE,FALSE,,,,
Château D'yon,Forts and Castles,,,FALSE,FALSE,,,,
Fort Villeroy,Forts and Castles,,,FALSE,FALSE,,,,
Tancred Castle,Forts and Castles,,,FALSE,FALSE,,,,
Château Basquet,Forts and Castles,,,FALSE,FALSE,,,,
Château Lambor,Forts and Castles,,,FALSE,FALSE,,,,
Grasgar Castle,Forts and Castles,,,FALSE,FALSE,,,,
Castle Rachard,Forts and Castles,,,FALSE,FALSE,,,,
Château Oisement,Forts and Castles,,,FALSE,FALSE,,,,
Turris Vigilans,Forts and Castles,,,FALSE,FALSE,,,,
Castle Desfleuve,Forts and Castles,,,FALSE,FALSE,,,,
Sanglac Castle,Forts and Castles,,,FALSE,FALSE,,,,
Castle Gransette,Forts and Castles,,,FALSE,FALSE,,,,
Château d'Epee,Forts and Castles,,,FALSE,FALSE,,,,
Castle Bastonne,Forts and Castles,,,FALSE,FALSE,,,,
Castle Garamont,Forts and Castles,,,FALSE,FALSE,,,,
Castle Sangasse,Forts and Castles,,,FALSE,FALSE,,,,
Castle Artois,Forts and Castles,,,FALSE,FALSE,,,,
Barley Motte,Forts and Castles,,,FALSE,FALSE,,,,
Castle Aquin,Forts and Castles,,,FALSE,FALSE,,,,
Castle Carrard,Forts and Castles,,,FALSE,FALSE,,,,
Fort Solstice,Forts and Castles,,,FALSE,FALSE,,,,
Summerfall Fort,Forts and Castles,,,FALSE,FALSE,,,,
Castle Carcassonne,Forts and Castles,,,FALSE,FALSE,,,,
Garban Hold,Forts and Castles,,,FALSE,FALSE,,,,
Grenouille Gate,Forts and Castles,,,FALSE,FALSE,,,,
Gaudaron Keep,Forts and Castles,,,FALSE,FALSE,,,,
Crac de Sang,Forts and Castles,,,FALSE,FALSE,,,,
Château Lovarre,Forts and Castles,,,FALSE,FALSE,,,,
La Salvegarde,Forts and Castles,,,FALSE,FALSE,,,,
Château de Chegney,Forts and Castles,,,FALSE,FALSE,,,,
La Maumotte,Forts and Castles,,,FALSE,FALSE,,,,
Château Billot,Forts and Castles,,,FALSE,FALSE,,,,
Fort Lagalant,Forts and Castles,,,FALSE,FALSE,,,,
Donjon de Dol,Forts and Castles,,,FALSE,FALSE,,,,
Château Godiveau,Forts and Castles,,,FALSE,FALSE,,,,
Château d'Orquelis,Forts and Castles,,,FALSE,FALSE,,,,
Château Valois,Forts and Castles,,,FALSE,FALSE,,,,
Château Herry,Forts and Castles,,,FALSE,FALSE,,,,
La Neuferte,Forts and Castles,,,FALSE,FALSE,,,,
Château Langon,Forts and Castles,,,FALSE,FALSE,,,,
Château d'Andousse,Forts and Castles,,,FALSE,FALSE,,,,
Château Chablis,Forts and Castles,,,FALSE,FALSE,,,,
Château Thibault,Forts and Castles,,,FALSE,FALSE,,,,
Bergbres,Forts and Castles,,,FALSE,FALSE,,,,
Fort Henaff,Forts and Castles,,,FALSE,FALSE,,,,
Château Pendrach,Forts and Castles,,,FALSE,FALSE,,,,
Château Planquet,Forts and Castles,,,FALSE,FALSE,,,,
Château Roux,Forts and Castles,,,FALSE,FALSE,,,,
Château Bugnaud,Forts and Castles,,,FALSE,FALSE,,,,
Château Eponine,Forts and Castles,,,FALSE,FALSE,,,,
Château Fluvia,Forts and Castles,,,FALSE,FALSE,,,,
Black Fire Keep,Forts and Castles,,,FALSE,FALSE,,,,
Castle Alexandronov,Forts and Castles,,,FALSE,FALSE,,,,
Fort Kaminski,Forts and Castles,,,FALSE,FALSE,,,,
Fort Ostrosk,Forts and Castles,,,FALSE,FALSE,,,,
Fort Ulfegzny,Forts and Castles,,,FALSE,FALSE,,,,
Fort Skaehold,Forts and Castles,,,FALSE,FALSE,,,,
Fort Urslo,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Sudengard,Forts and Castles,,,FALSE,FALSE,,,,
Boxbergschloss,Forts and Castles,,,FALSE,FALSE,,,,
Castle Graustark,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Hammerfels,Forts and Castles,,,FALSE,FALSE,,,,
Schloss Blassel,Forts and Castles,,,FALSE,FALSE,,,,
Eastern Bastion,Forts and Castles,,,FALSE,FALSE,,,,
High Tower,Forts and Castles,,,FALSE,FALSE,,,,
Southern Castle,Forts and Castles,,,FALSE,FALSE,,,,
Wyrmschloss,Forts and Castles,,,FALSE,FALSE,,,,
Iron Keep,Forts and Castles,,,FALSE,FALSE,,,,
Kupferschloss,Forts and Castles,,,FALSE,FALSE,,,,
Stoneclaw Castle,Forts and Castles,,,FALSE,FALSE,,,,
Fort Marvik,Forts and Castles,,,FALSE,FALSE,,,,
The Warden's Keep,Forts and Castles,,,FALSE,FALSE,,,,
Fort Dragoon,Forts and Castles,,,FALSE,FALSE,,,,
Fort Dwarrslav,Forts and Castles,,,FALSE,FALSE,,,,
Fort Dorznye-Vort,Forts and Castles,,,FALSE,FALSE,,,,
Fortress of Capitano Sisicco,Forts and Castles,,,FALSE,FALSE,,,,
Dragon Tooth Lighthouse,Forts and Castles,,,FALSE,FALSE,,,,
Long Drong's Stronghold,Forts and Castles,,,FALSE,FALSE,,,,
Castello di Rugazzi,Forts and Castles,,,FALSE,FALSE,,,,
Castello Novalesi,Forts and Castles,,,FALSE,FALSE,,,,
Torre Luscara,Forts and Castles,,,FALSE,FALSE,,,,
