Settlement,Type,Population,Major Clan(s),Minor Clan(s),Trade,Tags,Notes,Coordinates,wiki_url,wiki_title,wiki_description,wiki_image
Skavenblight,City,250000,"Skryre, Moulder, Eshin, Pestilens",Mors,,source:2eCotHR,,,,,,
Hell Pit,City,115000,Moulder,None,,source:2eCotHR,,,,,,
Under-Altdorf,City,120000,"Skryre, Eshin, Moulder","Pestilens, Skabb, Mors, Skaul",,source:2eCotHR,,,,,,
Black Chasm,City,25000,"Eshin, Pestilens","Moulder, Flem",,source:2eCotHR,,,,,,
The City of Pillars,City,95000,Mors,None,,source:2eCotHR,,,,,,
Under-Mousillon,City,55000,Pestilens,Flem,,source:2eCotHR,,,,,,
Queekwell,Nest,450,Skaar,None,,source:2eCotHR,,,,,,
Under-Delberz,City,10000,"Moulder, Eeshin, Skryre","Mors, Pestilens, Skab, Sleekit, Skaar",,source:2eCotHR,,,,,,
Under-Middenheim,City,25000,"Scrutens, Pestilens, Moulder",Eshin,,source:2eCotHR,,,,,,
Karak Skygg,Warren,1000,Skryre,Scrutens,,source:4eTHR,,,,,,
Putrid Stump,Warren,6000,,,,source:WFB4e,,,,,,
Fester Spike,City,20000,Fester,Pestilens,,source:WFB4e,,,,,,
Foul Peak,Warren,7500,Ektrik,Skryre,,source:WFB4e,,,,,,
Blackclaw Lair,Warren,5000,Eshin,None,,source:WFB4e,,,,,,
Karak-Drazh,Nest,1000,,,,source:WFB4e,,,,,,
Seep-Gore,Warren,5000,Gritus,"Moulder, Rictus",,source:WFB4e,,,,,,
Under-Nuln,City,10000,Skab,Skryre,,source:WFB4e,,,,,,
Gnaw Pit,Warren,6000,Gnaw,Mors,,source:WFB4e,,,,,,
Under-Magritta,Warren,12000,,,,source:2eCotHR,,,,,,
Under-Tobaro,Warren,8000,Skurvy,None,,source:2eCotHR,,,,,,
Spineport,City,45000,Skurvy,"Rikket, Skuttel",,source:WFB4e,,,,,,
Crookback Mountain,City,75000,Rictus,"Moulder, Skryre",,source:WFB4e,,,,,,
Bitter Stink (Under-Marienburg),City,20000,Scrutens,None,,source:WDM,,,,,,
Rat Rock,Nest,1000,Scrutens,None,,source:WDM,,,,,,
Cragmere,Nest,,,,,source:WFB4e,,,,,,
Karak Azgal,Nest,,,,,source:WFB4e,,,,,,
Ekrund,Nest,,,,,source:WFB4e,,,,,,
Under-Remas,Nest,,,,,source:WFB4e,,,,,,
Under-Quenelles,Nest,,,,,source:WFB4e,,,,,,
Under-Brionne,Nest,,,,,source:WFB4e,,,,,,
Under-Bordeleaux,Nest,,,,,source:WFB4e,,,,,,
Under-Gisoreux,Nest,,,,,source:WFB4e,,,,,,
Under-Parravon,Nest,,,,,source:WFB4e,,,,,,
Under-Talabheim,Nest,,,,,source:WFB4e,,,,,,
Karak Ungor,Nest,,,,,source:WFB4e,,,,,,
Under-Bilbali,Nest,,,,,source:Manslayer,,,,,,
