Settlement,Population,Estate,Trade,Tags,Notes,Coordinates,Province_2515,Province_2512,Province_2276,Ruler_2515,Ruler_2512,Ruler_2276,wiki_url,wiki_title,wiki_description,wiki_image
Luccini,43512,Luccini,,source:4eUiA,30000,,,,,,,,https://warhammerfantasy.fandom.com/wiki/Luccini,Luccini,"Luccini, also spelled Lucini, formally the Ancient Principality of Luccini, is considered the oldest city in Tilea, at least according to the people that live there. Founded upon the ruins of an ancient High Elven city in the year 1 IC, by the legendary twins, Lucan and Luccina, king and queen of a tribe of nomadic shepherds who settled on the famous Elf -built Acropolis and built their palace at its summit. No wonder that the name of the city itself is taken from that of its first queen.",https://static.wikia.nocookie.net/warhammerfb/images/5/50/Luccinian_domain.png/revision/latest?cb=20250208083543
Anducci,327,Luccini,,source:4eUiA,88,,,,,,,,https://warhammerfantasy.fandom.com/wiki/Anducci,Anducci,"Anducci is a poor Tilean hamlet on the Tilean Sea within the domain of the Principality of Luccini. In the past, Dark Elven Shades from the Black Ark Tower of Oblivion stole all the children of the village during the night. Afterwards, the Black Ark's commander, Randelle Doomwhisper, ransomed them back to their parents.",https://static.wikia.nocookie.net/warhammerfb/images/5/50/Luccinian_domain.png/revision/latest?cb=20250208083543
Pattio,255,Luccini,,source:4eUiA,250,,,,,,,,https://warhammerfantasy.fandom.com/wiki/Pattio,Pattio,Pattio is a poor Tilean village of the Principality of Luccini located on the Tilean Sea. Pattio was the site of the Battle of Pattio where Bronzino's Galloper Guns were used in battle for the first time by Borgio the Besieger.,https://static.wikia.nocookie.net/warhammerfb/images/5/50/Luccinian_domain.png/revision/latest?cb=20250208083543
Monte Castello,1454,Luccini,,source:4eUiA,500,,,,,,,,https://warhammerfantasy.fandom.com/wiki/Monte_Castello,Monte Castello,"Monte Castello is a prosperous fortress-monastery set above the Bay of Wrecks of the Black Gulf that is among the greatest strongholds in the Known World. Of the many sieges that have unfolded in the strife-torn land of Tilea, the siege of Monte Castello is surely the most famous. At the height of the conflict, five hundred Tilean mercenaries held this fortress-monastery against ten thousand Orcs.",https://static.wikia.nocookie.net/warhammerfb/images/4/44/Monte_Castello_Map-0.png/revision/latest?cb=20180708011335
Aldente,612,Luccini,,source:TOW,,,,,,,,,https://warhammerfantasy.fandom.com/wiki/Aldente,Aldente,Aldente is an inland town of southern Tilea under the control of the Principality of Luccini. It was the site of a battle at the Plain of Luccini on the southern tip of the peninsula near Cappo Cinno.,https://static.wikia.nocookie.net/warhammerfb/images/5/50/Luccinian_domain.png/revision/latest?cb=20250208083543
Minotupa,2182,Luccini,,source:MadAlfred,,,,,,,,,https://warhammerfantasy.fandom.com/wiki/Mintopua,Mintopua,"Mintopua, also spelled Minotupa, is a port town of the Principality of Luccini in southern Tilea and is the closest mainland Tilean settlement to the pirate island of Sartosa. It lies on the Pirate's Current.",https://static.wikia.nocookie.net/warhammerfb/images/5/50/Luccinian_domain.png/revision/latest?cb=20250208083543
Pavezzano,4325,Luccini,,source:MadAlfred,,,,,,,,,https://warhammerfantasy.fandom.com/wiki/Pavezzano,Pavezzano,"Pavezzano is a port town of the Principality of Luccini in southern Tilea, located on the Black Gulf. The Tilean Sea as depicted in Man O' War: Corsair. Each location's name matches those used in the game.",https://static.wikia.nocookie.net/warhammerfb/images/5/50/Luccinian_domain.png/revision/latest?cb=20250208083543
Capelli,2812,Luccini,,source:MadAlfred,,,,,,,,,https://warhammerfantasy.fandom.com/wiki/Capelli,Capelli,Capelli is an inland town located south of the Sussurrio Wood in southern Tilea under the control of the Principality of Luccini. Capelli was originally a fan-made settlement created by the freelance writer Alfred Nuñez Jr.. The town was mentioned for the first time in Warhammer: The Old World.,https://static.wikia.nocookie.net/warhammerfb/images/5/50/Luccinian_domain.png/revision/latest?cb=20250208083543
Miragliano,38935,Miragliano,,source:4eUiA,25000,,,,,,,,https://warhammerfantasy.fandom.com/wiki/Miragliano,Miragliano,"Miragliano, officially the Mighty Principality of Miragliano and also known known as "" Miragliano the Serene "", is one of the most powerful city-states in Tilea, famed for its expert crossbowmen; Miragliano is a bastion of defiance against the Skaven hordes of the Under-Empire.",https://static.wikia.nocookie.net/warhammerfb/images/1/1e/Miragliano_2300_IC.png/revision/latest?cb=20250218124555
Amato,512,Miragliano,,source:4eUiA,260,,,,,,,,https://warhammerfantasy.fandom.com/wiki/Amato,Amato,Amato is a poor Tilean hamlet in the Principality of Miragliano. Its known to be always blessed by clean springs. The early Tileans were lucky that their lands remained largely free of monstrous creatures but in 475 IC a vast horde of Orcs and Goblins invaded from the east.,https://static.wikia.nocookie.net/warhammerfb/images/1/1e/Miragliano_2300_IC.png/revision/latest?cb=20250218124555
