Settlement,Population,Estate,Trade,Tags,Notes,Coordinates,Province_2515,Province_2512,Province_2276,Ruler_2515,Ruler_2512,Ruler_2276,wiki_url,wiki_title,wiki_description,wiki_image
L'Anguille,42428,,,"""source:2eKotG""",,,,,,,,,,,,
Gisoreux,35450,,,"""source:2eKotG""",,,,,,,,,,,,
Brionne,29492,,,"""source:2eKotG""",,,,,,,,,,,,
Bordeleaux,26560,,,"""source:2eKotG""",,,,,,,,,,,,
Couronne,25488,,,"""source:2eKotG""",,,,,,,,,,,,
Lyonesse,20127,,,"""source:2eKotG""",,,,,,,,,,,,
Parravon,18993,,,"""source:2eKotG""",,,,,,,,,,,,
Quenelles,14466,,,"""source:2eKotG""",,,,,,,,,,,,
Mousillon,13198,,,"""source:2eKotG""",,,,,,,,,,,,
Bastonne,12846,,,"""source:2eKotG""",,,,,,,,,,,,
Montfort,11436,,,"""source:2eKotG""",,,,,,,,,,,,
Brusse,8433,,,"""source:TVS""",,,,,,,,,,,,
Aquitaine,7640,,,"""source:2eKotG""",,,,,,,,,,,,
L'Arret,6538,,,"""source:2eKotG""",,,,,,,,,,,,
Carcassonne,4569,,,"""source:2eKotG""",,,,,,,,,,,,
Paillole,3695,,,"""source:1eDDS""",,,,,,,,,,,,
Merceaux-Descloux,3554,,,"""source:1eDDS""",,,,,,,,,,,,
Marguilles,2389,,,"""source:1eDDS""",,,,,,,,,,,,
Perrache,2223,,,"""source:1eDDS""",,,,,,,,,,,,
Chenin,2137,,,,,,,,,,,,,,,
Courseules,2764,,,,,,,,,,,,,,,
Erguy,2595,,,"""source:MoWC""",,,,,,,,,,,,
Gamay,2203,,,,,,,,,,,,,,,
Martel,4566,,,"""source:MoWC""",,,,,,,,,,,,
Merton,4324,,,"""source:MoWC""",,,,,,,,,,,,
Nez-en-Bessant,3844,,,"""source:MoWC""",,,,,,,,,,,,
Oisillon,4213,,,"""source:1eCRB""",,,,,,,,,,,,
Portsall,5112,,,"""source:MoWC""",,,,,,,,,,,,
Saint-Lambert,2133,,,,,,,,,,,,,,,
Salignac-La-Rouge,2834,,,"""source:1eDDS""",,,,,,,,,,,,
Saumiers,2645,,,,,,,,,,,,,,,
Sibourne,2334,,,"""source:TVS""",,,,,,,,,,,,
Soreil,2246,,,"""source:MoWC""",,,,,,,,,,,,
Thurin,3288,,,"""source:WDM""",,,,,,,,,,,,
Yremy,2711,,,"""source:BrianCraig""",,,,,,,,,,,,
Clouseau,1650,,,"""source:1eDDS""",,,,,,,,,,,,
Sigmarsheim,412,,,"""source:2eKotG""",,,,,,,,,,,,
Abois,,,,,"character surname, e.g. (Sir Person d'Place)",,,,,,,,,,,
Acques,,,,,,,,,,,,,,,,
Aix Fronnard,,,,"""source:WHMonthly""",,,,,,,,,,,,
Alembençon,,,,,"character surname, e.g. (Sir Person d'Place)",,,,,,,,,,,
Alencon,,,,"""source:MadAlfred""",,,,,,,,,,,,
Athel Menya,,,,,other,,,,,,,,,,,
Aubenas,,,,"""source:WHMonthly""",,,,,,,,,,,,
Barley Motte,,,,"""source:2eKotG""",castle,,,,,,,,,,,
Barrows of Cuileux,,,,"""source:2eKotG""",other,,,,,,,,,,,
Bergerac,,,,"""source:WDM""",,,,,,,,,,,,
Brillionne,,,,"""source:Archaon""",,,,,,,,,,,,
Castellet,,,,,,,,,,,,,,,,
Castle Aquin,,,,"""source:RedDuke""",castle,,,,,,,,,,,
