Settlement,Population,Estate,Trade,Tags,Notes,Coordinates,Province_2515,Province_2512,Province_2276,Ruler_2515,Ruler_2512,Ruler_2276,wiki_url,wiki_title,wiki_description,wiki_image
Agbeiten,9679,,,"""source:2eSH""",,,Averland,,,Count Matthias von Grünwald,,,,,,
Averhafen,1338,,,,,,Averland,,,,,,,,,
Averheim,35686,,,"""source:2eSH""",,,Averland,,,Grand Count Marius Leitdorf,,,https://warhammerfantasy.fandom.com/wiki/Averheim,Averheim,"Averheim is the capital city of the Grand Province of Averland, and the original capital of the ancient Brigundians tribe. Averheim has been the chief city of the land between the river Aver and the river Reik since before the legendary Emperor Sigmar was born. It sits on a bluff above the river Aver, and so is immune from its occasional high floods.",https://static.wikia.nocookie.net/warhammerfb/images/b/b8/Map-City-Averheim-1.jpg/revision/latest?cb=20150919194729
Bernloch,4941,,,"""source:2eSH""",,,Averland,,,Baroness Elise Alder,,,,,,
Bieswang,6620,,,"""source:2eSH""",,,Averland,,,Baron Boris Ulbricht,,,,,,
Bockenhof,1521,,,,,,Averland,,,,,,,,,
Brunshof,1534,,,,,,Averland,,,,,,,,,
Buch,281,,,"""source:2eSH""",,,Averland,,,Grand Count Leitdorf,,,,,,
Colmerstand,1022,,,,,,Averland,,,,,,,,,
Colmfähre,7667,,,"""source:2eSH""",,,Averland,,,Baron Sigmund Hindenberg,,,,,,
Dachbach,1019,,,"""source:2eSH""",,,Averland,,,Grand Count Leitdorf,,,,,,
Dietfurt,218,,,"""source:2eSH""",,,Averland,,,Count von Heine,,,,,,
Dorfbach,391,,,"""source:2eSH""",,,Averland,,,Grand Count Leitdorf,,,,,,
Egenberg,978,,,,,,Averland,,,,,,,,,
Eining,466,,,"""source:2eSH""",,,Averland,,,Grand Count Leitdorf,,,,,,
Ensdorf,479,,,"""source:2eSH""",,,Averland,,,Count von Grünwald,,,,,,
Essing,412,,,"""source:2eSH""",,,Averland,,,Count von Heine,,,,,,
Flensburg,2537,,,"""source:2eSH; source:4eAotE1""",,,Stirland,,,,,,https://warhammerfantasy.fandom.com/wiki/Flensburg,Flensburg,"Flensburg is a small market town in western Stirland. Located west of the Sirhügel Hills, the town's economy is based on the sheep trade from that region. The town also has a major temple of Shallya.",https://static.wikia.nocookie.net/warhammerfb/images/2/22/Flensburg.png/revision/latest?cb=20180622180628
Flurfurt,1011,,,,,,Averland,,,,,,,,,
Fredricksburg,5520,,,"""source:G&FT""",,,Averland,,,,,,,,,
Friedendorf,980,,,"""source:2eSH""",,,Averland,,,Grand Count Leitdorf,,,,,,
Gebenbach,207,,,"""source:2eSH""",,,Averland,,,Countess von Sachs,,,,,,
Gernsbach,996,,,,,,Averland,,,,,,,,,
Gerzen,247,,,"""source:2eSH""",,,Averland,,,Count Kastor Leitdorf,,,,,,
Gollbach,1010,,,,,,Averland,,,,,,,,,
Gottesdorf,1492,,,,,,Averland,,,,,,,,,
Grenzstadt,11937,,,"""source:2eSH""",,,Averland,,,Grand Count Marius Leitdorf,,,https://warhammerfantasy.fandom.com/wiki/Grenzstadt,Grenzstadt,"Grenzstadt is an Imperial fortress-town that is located at the northwestern end of Black Fire Pass, and commands lucrative trade traffic from traders moving through the Old Dwarf Road. Ruled by a representative of the Elector Count, Grenzstadt is a centre of the fur, gem, and metal trade, with a large guild market and warehouses within its walls. At any given time, foreign merchants, trade caravans, and pilgrims can all be seen in the town.",https://static.wikia.nocookie.net/warhammerfb/images/7/71/Greizstadt.PNG/revision/latest?cb=20150919200918
Grunburg an der Sar,996,,,,,,Averland,,,,,,,,,
Gryfenheim,1017,,,,,,Averland,,,,,,,,,
Heideck,3939,,,"""source:2eSH""",,,Averland,,,Countess Magda Leitdorf,,,https://warhammerfantasy.fandom.com/wiki/Heideck,Heideck,"Heideck is an Imperial town located at the crossroads of the Old Dwarf Road just before reaching the capital of Averheim. Built as a way station at the height of the Dwarf Empire, Heideck was in ruins when humans first occupied the area in the first millenium. It has since become an important crossroad for traffic from the Upper Reik via Agbeiten and from Black Fire Pass to Averheim and vice versa.",https://static.wikia.nocookie.net/warhammerfb/images/3/36/Heideck.PNG/revision/latest?cb=20150919200507
Hirschhügel,712,,,"""source:2eSH""",,,Averland,,,,,,,,,
Hochsleben,8386,,,"""source:2eSH""",,,Averland,,,,,,,,,
Jehlfeld,427,,,"""source:2eSH""",,,Averland,,,Baroness Alder,,,,,,
Kulz,119,,,"""source:2eSH""",,,Averland,,,Count von Grünwald,,,,,,
Lebendorf,3061,,,,,,Averland,,,,,,,,,
