name,type,tags,notes,wiki_url,wiki_title,wiki_description,wiki_image
Messersee,Lake,,,,,,
Öbelsee,Lake,,,,,,
Barmsee,Lake,,,,,,
Kaltsee,Lake,,,,,,
Wolfsee,Lake,,,,,,
Bögensee,Lake,,,,,,
Frugelsee,Lake,,,,,,
Gargrimvarn,Lake,,,,,,
Glanzsee,Lake,,,,,,
Svarsee,Lake,,,,,,
Helsee,Lake,,,,,,
Delbsee,Lake,,,,,,
Untzensee,Lake,,,,,,
Ulfensee,Lake,,,,,,
Myrkelmere,Lake,,,,,,
Glimmersee,Lake,,,,,,
Spiegelsee,Lake,,,,,,
Dornsee,Lake,,,,,,
Brachsee,Lake,,,,,,
Riedsee,Lake,,,,,,
Nomensee,Lake,,,,,,
Ehrlersee,Lake,,,,,,
Wyrmsee,Lake,,,,,,
Maissee,Lake,,,,,,
Schadensumpf,Large Marsh,,,,,,
Cursed Marshes,Large Marsh,,,,,,
Midden Marshes,Large Marsh,,,,,,
Bylorhof Marsh,Large Marsh,,,,,,
Czarnebłota (The Blight),Large Marsh,,,,,,
Mirror Moors,Small Marsh,,,,,,
Grimmoor,Small Marsh,,,,,,
Dunkelmoor,Small Marsh,,,,,,
Morrsfenn,Small Marsh,,,,,,
Totensümpfe,Small Marsh,,,,,,
Hel Fenn,Small Marsh,,,,,,
Albenmoor,Small Marsh,,,,,,
Grootscher Marsh,Small Marsh,,,,,,
Uhland Bogs,Small Marsh,,,,,,
The Furdienst,Small Marsh,,,,,,
Altdorf Flats,Small Marsh,,,,,,
Reiker Marshes,Small Marsh,,,,,,
Drakon Marsh,Small Marsh,,,,,,
The Oberslecht,Small Marsh,,,,,,
Teufelsumpf,Small Marsh,,,,,,
Hargensumpf,Small Marsh,,,,,,
The Ortschlamm,Small Marsh,,,,,,
Eiger Bay,Small Sea,,,,,,
Drosselspule Bay,Small Sea,,,,,,
Kreideklippe Bight,Small Sea,,,,,,
Klarwasser Bay,Small Sea,,,,,,
Starivoda Bay (Altwasser),Small Sea,,,,,,
Troll Fjord,Small Sea,,,,,,
Clawfjord,Small Sea,,,,,,
Midfjord,Small Sea,,,,,,
Amfjord,Small Sea,,,,,,
Pack Ice Bay,Small Sea,,,,,,
Icedrake Fjord,Small Sea,,,,,,
Fjaergardfjord,Small Sea,,,,,,
Bay Of Blades,Small Sea,,,,,,
Dypvannfjord,Small Sea,,,,,,
Drakfjord,Small Sea,,,,,,
Ursfjord,Small Sea,,,,,,
Bloodfjord,Small Sea,,,,,,
Bay of Aarnau,Medium Sea,,,,,,
Varn Drazh (Black Water),Medium Sea,,,,,,
Bay of Pearls,Medium Sea,,,,,,
Manannspoort Sea,Medium Sea,,,,,,
Gulf of Bidouze,Medium Sea,,,,,,
Baia di Remas,Medium Sea,,,,,,
Baia di Verezzo,Medium Sea,,,,,,
Moussille Bay,Medium Sea,,,,,,
Bay of L'Anguille,Medium Sea,,,,,,
Bahía de Muros,Medium Sea,,,,,,
Gulfo Naranja,Medium Sea,,,,,,
Bahía de las Águilas,Medium Sea,,,,,,
Golfo di Miragliano,Medium Sea,,,,,,
Baia di Olesi,Medium Sea,,,,,,
Lyonen Bay,Medium Sea,,,,,,
Pirate's Current,Medium Sea,,,,,,
Golfo di Fodore,Medium Sea,,,,,,
Bahía de la Quietud,Medium Sea,,,,,,
Bahía de Bilbali,Medium Sea,,,,,,
Laguna de la Lagrime,Medium Sea,,,,,,
Gulf of the Maelstrom,Medium Sea,,,,,,
Bay of Taaketskog,Medium Sea,,,,,,
Sea of Soerligslette,Medium Sea,,,,,,
Varg Sea,Medium Sea,,,,,,
Nordlig Sea,Medium Sea,,,,,,
Sea of Couronne,Large Sea,,,,,,
Middle Sea,Large Sea,,,,,,
The Silent Sea,Large Sea,,,,,,
The Black Gulf,Large Sea,,,,,,
Kraken Sea,Large Sea,,,,,,
The Frozen Sea,Large Sea,,,,,,
Sea of Claws,Major Sea,,,,,,
Tilean Sea,Major Sea,,,,,,
Sea of Chaos,Major Sea,,,,,,
The Southern Sea,Ocean,,,,,,
The Great Ocean,Ocean,,,,,,
