Settlement,Population,Estate,Trade,Tags,Notes,Coordinates,Province_2515,Province_2512,Province_2276,Ruler_2515,Ruler_2512,Ruler_2276,wiki_url,wiki_title,wiki_description,wiki_image
Suderholm,,,,source:TOW,,,,,,,,,,,,
Birka,,,,source:TOW,,,,,,,,,,,,
Ulfsland,,,,source:TOW,,,,,,,,,,,,
Aarvik,,,,source:TOW,,,,,,,,,,,,
Turui,,,,source:TOW,,,,,,,,,,,,
Trassel,,,,source:TOW,,,,,,,,,,,,
The Hall of Snaegr,,,,source:TOW,,,,,,,,,,,,
Bragnir,,,,source:TOW,,,,,,,,,,,,
Olricstaad,,,,source:TOW,,,,,,,,,,,,
Iskvard,,,,source:TOW,,,,,,,,,,,,
Heimseter,,,,source:TOW,,,,,,,,,,,,
Steinvalk,,,,source:TOW,,,,,,,,,,,,
Bjarkoy,,,,source:TOW,,,,,,,,,,,,
Finnsvik,,,,source:TOW,,,,,,,,,,,,
Cardariborg,,,,source:TOW,,,,,,,,,,,,
Doomkeep,,,,source:TOW,,,,,,,,,,,,
Novgoborg,,,,source:TOW,,,,,,,,,,,,
Aldeigborg,,,,source:TOW,,,,,,,,,,,,
Rugard,,,,source:TOW,,,,,,,,,,,,
Morkestaar,,,,source:TOW,,,,,,,,,,,,
Svartblodgard,,,,source:TOW,,,,,,,,,,,,
Cockatrice Lair,,,,source:TOW,,,,,,,,,,,,
Black Gulch,,,,source:TOW,,,,,,,,,,,,
Icedrake Fjord,,,,source:TWW,,,,,,,,,,,,
Foul Fortress,,,,source:TWW,,,,,,,,,,,,
Serpent Jetty,,,,source:TWW,,,,,,,,,,,,
Longship Graveyard,,,,source:TWW,,,,,,,,,,,,
Altar of Spawns,,,,source:TWW,,,,,,,,,,,,
Frozen Landing,,,,source:TWW,,,,,,,,,,,,
Temple of Heimkel,,,,source:TWW,,,,,,,,,,,,
Graeling Moot,,,,source:TWW,,,,,,,,,,,,
Bjornling's Gathering,,,,source:TWW,,,,,,,,,,,,
Aesling's Conclave,,,,source:TWW,,,,,,,,,,,,
Sarl Encampment,,,,source:TWW,,,,,,,,,,,,
Varg Camp,,,,source:TWW,,,,,,,,,,,,
Baersonling's Camp,,,,source:TWW,,,,,,,,,,,,
Baga Yar,,,,source:Wulfrik,,,,,,,,,,,,
Skraevold,,,,,,,,,,,,,,,,
Fjirgard,,,,,,,,,,,,,,,,
Skjold,,,,source:4eSoC,,,,,,,,,,,,
Kirkjugarður Langskipa,,,,source:4eSoC,,,,,,,,,,,,
Eyristaad,,,,source:4eSoC,,,,,,,,,,,,
Svunum,,,,source:4eSoC,,,,,,,,,,,,
Horvenghaast,,,,source:4eSoC,,,,,,,,,,,,
Chenhild's Monoliths,,,,source:4eSoC,,,,,,,,,,,,
