name,formal_title,info_description,info_image,info_wiki_url,part_of,population,province_type
TALABHEIM,Imperial County and City-State of Talabheim,"Talabheim, known in ancient times as Taalaheim which means ""Taal's Victory"", is an Imperial city-state and the capital city of the Grand Duchy of Talabecland. It is one of the great cities of the Empire of Man and is the largest city in the eastern Empire. Talabheim lies deep within the Great Forest of the Empire, and as such earned its nickname as the ""Eye of the Forest"", for like the eye of a mighty storm, the city is built within a great, shallow crater deep in the forest, an island of calm amidst the surrounding danger.",,https://warhammerfantasy.fandom.com/wiki/Talabheim,Talabecland,,Province
MIDDENHEIM,Imperial County and City-State of Middenheim,"Middenheim, also known as the Ulricsberg, the Fauschlag (meaning ""Fist-Strike"" in Reikspiel), or simply the ""City of the White Wolf,"" is amongst the greatest and most fortified fortress-cities within the Old World and beyond. Middenheim is home to the Cult of Ulric and is the greatest city-state of the northern Empire, as well as the capital of the Grand Province of Middenland. The City of the White Wolf is the rock upon which the northern enemies of the Empire have always broken upon.",,https://warhammerfantasy.fandom.com/wiki/Middenheim,Middenland,,Province
NULN,Imperial County and City-State of Nuln,"Nuln, called the ""Bastion of the South"" and the ""Jewel of the Empire"", is the capital city of the Electoral Province of Wissenland, the second largest city of the Empire of Man and the largest manufacturer and exporter of Imperial blackpowder munitions and warmachines, earning itself the title of the ""Armoury of the Empire"". Sitting at the heart of the Old World's southern trade routes, it stands as an imposing bastion, its fortified walls bristling with enough heavy blackpowder artillery emplacements to arm a fleet of war galleons.",,https://warhammerfantasy.fandom.com/wiki/Nuln,Wissenland,,Province
NORTHERN MARCH,Margraveate of the Northern March,"The Northern March, often just called ""The March,"" is a region of Ostland situated near the Sea of Claws. The coastal towns dotted along these blustery grasslands stretch from the Erengrad to the Middenheim Roads. The revenues from this traffic are important to the Grand Prince of Ostland, and the duties he sets are often a bone of contention with Middenheim.",,https://warhammerfantasy.fandom.com/wiki/Ostland#Northern_March,Ostland,,Province
SYLVANIA,County of Sylvania,"Sylvania, formally the County of Sylvania, is a formerly independent realm that had its territories absorbed by the Grand County of Stirland, an Electoral Province of the Empire of Man. But perhaps the most defining feature of this backwater region of the eastern Old World is that it is considered the rightful domain of the Vampire Counts of the von Carstein bloodline with the current Vampire Count being the Vampire Lord Mannfred von Carstein, whose claim is disputed by the counts of Stirland.",,https://warhammerfantasy.fandom.com/wiki/Sylvania,Stirland,,Province
VENNLAND,Barony of the Vennland Marches,,,,Wissenland,,Province
AVERHEIM,County of Averheim,"Averheim is the capital city of the Grand Province of Averland, and the original capital of the ancient Brigundians tribe.",,https://warhammerfantasy.fandom.com/wiki/Averheim,Averland,,Province
WESTERMARK,Barony of the Westermark,,,,Middenland,,Province
CARROBURG,Imperial Free City of Carroburg,"Carroburg is a small Imperial city that once served as the capital of the former Electoral Province of Drakwald before its formal dissolution in 1124 IC, after which time it became a part of Middenland. Carroburg's economy specializes in trade and the manufacture of glass, and pottery, with its present day ruler being Duke Leopold von Bildhofen.",,https://warhammerfantasy.fandom.com/wiki/Carroburg,Middenland,,Province
DRAKWALD,County of the Drakwald,"Drakwald was once an Electoral Province of the Empire of Man, and was the homeland of the ancient Thuringian tribe of Men who allied themselves with Sigmar to found the Empire. The province is home to its namesake Drakwald Forest, which also covers parts of Middenland and Nordland. It is a dangerous forest still inhabited by several tribes of Beastmen and other mutant beasts of Chaos.[3a] Situated between The Wasteland to the west, Middenland to the south-east and Nordland on the north, the province's government eventually collapsed due to a variety of circumstances.",,https://warhammerfantasy.fandom.com/wiki/Drakwald,Middenland,,Province
