Settlement,Population,Estate,Trade,Tags,Notes,Coordinates,Province_2515,Province_2512,Province_2276,Ruler_2515,Ruler_2512,Ruler_2276,wiki_url,wiki_title,wiki_description,wiki_image
Marienburg,352550,,,"""source:1eMSDtR""",,,Westerland,,,,,,https://warhammerfantasy.fandom.com/wiki/Marienburg,Marienburg,"Marienburg is the great mercantile city-state of the Wasteland that is considered to be the largest trading hub in the Old World and the greatest of its ports. Straddling the mouth of the River Reik as it drains into the Manaansport Sea and the Sea of Claws, nearly all the maritime trade of Bretonnia and the Empire of Man finds its way here. It is a place of great wealth and great opportunity.",https://static.wikia.nocookie.net/warhammerfb/images/2/2d/Warhammer_Fantasy_-_Marienburg%2C_Empire_City_State.png/revision/latest?cb=20151001185559
Klessen,12761,,,"""source:TOW""",,,Westerland,,,,,,,,,
Kalkaat,8411,,,"""source:TOW""",,,Westerland,,,,,,,,,
Zandt,9744,,,"""source:TOW""",,,Westerland,,,,,,,,,
Broekwater,1213,,,"""source:1eMSDtR""",,,Westerland,,,,,,https://warhammerfantasy.fandom.com/wiki/Broekwater,Broekwater,"The village of Broekwater is squeezed between the Old Coast Road and the Manaanspoort Sea in the Wasteland. A small cluster of fishing hovels, Broekwater has a poor reputation and is said to be a haven for criminals of all sorts. The goods of ships wrecked along the western shore can sometimes be found here.",https://static.wikia.nocookie.net/warhammerfb/images/5/50/Almshoven_and_Broekwater.png/revision/latest?cb=20231218001247
Gorssel,2771,,,"""source:TOW""",,,Westerland,,,,,,,,,
Salfen,1319,,,"""source:TOW""",,,Westerland,,,,,,,,,
Aarnau,7311,,,"""source:1eMSDtR""",,,Westerland,,,,,,https://warhammerfantasy.fandom.com/wiki/Aarnau,Aarnau,"At the very north-eastern tip of the Wasteland, on the border of the Laurelorn Forest, at the far north of the Tumble Downs, at the end of a rutted track grandly named the ""Old North Road"", sits the border town of Aarnau. Ships stopping here report a quiet settlement of farmers and fisherman, with a surprising martial bent.",https://static.wikia.nocookie.net/warhammerfb/images/d/d7/Hollum-Aarnau-Diever.png/revision/latest?cb=20251109051320
Hollum,844,,,"""source:1eMSDtR""",,,Westerland,,,,,,,,,
Lehmburg,512,,,"""source:TOW""",,,Westerland,,,,,,,,,
Leydenhoven,9560,,,"""source:1eMSDtR""",,,Westerland,,,,,,,,,
Halsdorp,445,,,"""source:1eMSDtR""",,,Westerland,,,,,,,,,
Fort Solace,1810,,,"""source:1eMSDtR""",,,Westerland,,,,,,https://warhammerfantasy.fandom.com/wiki/Fort_Solace,Fort Solace,"Fort Solace is a small seaside village built around a lighthouse along the northern shore of the Manaanspoort Sea. It is a new settlement, founded after the destruction of Almshoven and its beacon on the opposite shore during the last incursion of the forces of Chaos into the Wasteland.",https://static.wikia.nocookie.net/warhammerfb/images/5/58/Fort_Solace_and_Almshoven.png/revision/latest?cb=20251108070600
