settlement,url,title,description,image
L'Anguille,https://warhammerfantasy.fandom.com/wiki/L%27Anguille,L'Anguille,"L'Anguille, formally the Dukedom of L'Anguille, is a dukedom of Bretonnia that lies at the northern shores of that kingdom. Known far and wide for having some of the busiest ports in all of Bretonnia, L'Anguille is a rich dukedom that relies heavily on sea-trade for their fortunes. As such, there is a large number of merchants and middle-class commoners amongst the peasant population of the capital.",https://static.wikia.nocookie.net/warhammerfb/images/4/49/L%27Anguelle_symbol.png/revision/latest?cb=20160305042913
Gisoreux,https://warhammerfantasy.fandom.com/wiki/Gisoreux,Gisoreux,"Gisoreux, formally the Dukedom of Gisoreux, is a founding dukedom of Bretonnia that lies within the treacherous slopes of the Pale Sisters and upon the low woodlands of the Forest of Arden. Unlike in other parts of Bretonnia, where much of the land is either one type of landscape and of one type of people, the diversity in geography of this Dukedom has also created a diversity in cultures and customs. Those living within the arable plains to the south contain the typical farmers and peasants that is universal within all the realms.",https://static.wikia.nocookie.net/warhammerfb/images/2/24/Gisoreux.png/revision/latest?cb=20160630062703
Brionne,https://warhammerfantasy.fandom.com/wiki/Brionne,Brionne,"Brionne, formally the Dukedom of Brionne, is a founding dukedom of Bretonnia that lies at the southern tip of that kingdom's western coast, just below the tranquil lands of Aquitaine. Being surrounded by powerful allies and far away from major threats, Brionne is famous for its beautiful and tranquil landscape, second only to its brethren within Aquitaine itself. Indeed, for Brionne is famous for its emphasis on making everything, from mighty castles to small towns as clean and beautiful as possible.",https://static.wikia.nocookie.net/warhammerfb/images/d/d3/Brionne.png/revision/latest?cb=20160628053308
Bordeleaux,https://warhammerfantasy.fandom.com/wiki/Bordeleaux,Bordeleaux,"Bordeleaux, formally the Dukedom of Bordeleaux, is a founding dukedom of Bretonnia that lies on the western coast of that kingdom, just south of the cursed lands of Mousillon. Known as the largest exporter of wines within the entire kingdom, Bordeleaux is a beautiful land filled with many farms and vineyards. Such is the dukedom's reputation for wine that even peasants and nobles alike are given the luxury of drinking the fine liquor at a cost that is 1/3 its price in other lands.",https://static.wikia.nocookie.net/warhammerfb/images/8/82/Bordeleaux.png/revision/latest?cb=20160628051631
Couronne,https://warhammerfantasy.fandom.com/wiki/Couronne,Couronne,"Couronne, formally the Dukedom of Couronne, is a founding dukedom of Bretonnia that lies upon the northern shores of that realm and is the current seat of power of the king's royal court, which is located in Castle Couronne, the dukedom and the kingdom's capital.",https://static.wikia.nocookie.net/warhammerfb/images/5/5e/Couronne.png/revision/latest?cb=20160629040546
Lyonesse,https://warhammerfantasy.fandom.com/wiki/Lyonesse,Lyonesse,"Lyonesse, formally the Dukedom of Lyonesse, is one of the founding dukedoms of Bretonnia that lies upon the north-western shores of that kingdom. One of the larger dukedoms following its annexation of Mousillon several centuries earlier, the lands of Lyonesse are infamously known for their rivalry not with the other Bretonnian dukedoms, but amongst their own nobility, even in comparison to the feudal conflicts which plague the other realms of Bretonnia. People blame the unusual geography of the dukedom for the prevalence of the internecine strife, particularly the profusion of excellent sites for fortifications, which deters rival dukedoms from waging war or pursuing feuds with the lords of Lyonesse.",https://static.wikia.nocookie.net/warhammerfb/images/9/92/Lyonesse.png/revision/latest?cb=20160630064758
Parravon,https://warhammerfantasy.fandom.com/wiki/Parravon,Parravon,"Parravon, formally the Dukedom of Parravon, is a founding dukedom of Bretonnia that lies upon the southern reaches of the Grey Mountains. Forming one of the three dukedoms that serve as a barrier between the interior of Bretonnia and the lands of the Empire, Parravon commands the southern territories of the kingdom centred around the Grey Lady Pass, one of three routes between the realms that allows overland trade between Bretonnia and the Empire.",https://static.wikia.nocookie.net/warhammerfb/images/a/a9/Parravon.png/revision/latest?cb=20160701035015
Quenelles,https://warhammerfantasy.fandom.com/wiki/Quenelles,Quenelles,"Quenelles, formally the Dukedom of Quenelles, is a founding dukedom of Bretonnia that lies upon the borders of Athel Loren, in the south-eastern corner of that realm. Being one of the largest out of all the Bretonnian dukedoms following their annexation of Cuileux during a Greenskin invasion in 900 IC, Quenelles is so large that it surrounds the entire mountain range of Massif Orcal. Lying at the very centre of the dukedom, the Greenskins living within Massif Orcal have always been a bane to the existence of all those living near the mountain.",https://static.wikia.nocookie.net/warhammerfb/images/5/5c/Quenelles.png/revision/latest?cb=20160701091604
Mousillon,https://warhammerfantasy.fandom.com/wiki/Mousillon,Mousillon,"Mousillon, formally the Dukedom of Mousillon, was a founding dukedom of Bretonnia whose territory once stretched along the western shores of that realm. Ever since the fall of its last duke, Mousillon has become a cursed, impoverished land that is plagued by constant misfortunes, disease and the attention of dark powers. Having since lost its status as an official dukedom of the kingdom, the land of Mousillon is the smallest of the twelve dukedoms of Bretonnia, even though it was once known as the most beautiful and fairest of them all.",https://static.wikia.nocookie.net/warhammerfb/images/5/55/Mousillon.png/revision/latest?cb=20160630072727
Bastonne,https://warhammerfantasy.fandom.com/wiki/Bastonne,Bastonne,"Bastonne, formally the Dukedom of Bastonne. is a founding dukedom of Bretonnia that lies at the very centre of that kingdom. Bastonne was at one time the very heart of all Bretonnia, its founding duke being none other than Gilles le Breton, first King of Bretonnia.",https://static.wikia.nocookie.net/warhammerfb/images/e/e3/Bastonne.png/revision/latest?cb=20160628021520
Montfort,https://warhammerfantasy.fandom.com/wiki/Montfort,Montfort,"Montfort, formally the Dukedom of Montfort, is a founding dukedom of Bretonnia that lies on the eastern borders of the kingdom, along the central spine of the Grey Mountains. Stretching from the Gisoreux Gap to the north and Axe Bite Pass to the south, the Dukedom of Montfort acts as the central buffer state between the lands of Bretonnia and those within the Empire of Man. Almost all of Montfort lies within the Grey Mountains, with what little arable land exists being devoted solely to agriculture.",https://static.wikia.nocookie.net/warhammerfb/images/2/26/Montfort.png/revision/latest?cb=20160630071007
Brusse,,,,
Aquitaine,https://warhammerfantasy.fandom.com/wiki/Aquitaine,Aquitaine,"Aquitaine, formally the Dukedom of Aquitaine, is a founding dukedom of Bretonnia that lies upon the gentle western coastlands of that realm. Known for having one of the most tranquil lands within the entire Old World, Aquitaine is famous for its highly arable farmlands and its gentle sandy shores. Due to its tranquillity and lack of any external threats to unify Aquitaine's people, this land is infamous in Bretonnia and across the Old World for its unstable, fractious and violent politics, with feuds between its major nobles, peasant revolutions and small civil wars being an all-too-common occurrence in the dukedom's history.",https://static.wikia.nocookie.net/warhammerfb/images/5/54/Aquitaine_symbol.png/revision/latest?cb=20160305052851
L'Arret,,,,
Carcassonne,https://warhammerfantasy.fandom.com/wiki/Carcassonne,Carcassonne,"Carcassonne, formally the Dukedom of Carcassonne, is a founding dukedom of Bretonnia that lies in the extreme south of that kingdom. Its current ruler is Duke Huebald. A highly martial dukedom, even in comparison to other Bretonnian provinces well known for their valour, Carcassonne is a heavily militarised land that focuses its efforts on the eradication of the Greenskin tribes that infest the Irrana Mountains on its southern border.",https://static.wikia.nocookie.net/warhammerfb/images/b/bc/Carcassonne.png/revision/latest?cb=20160628060310
Paillole,,,,
Merceaux-Descloux,,,,
Marguilles,,,,
Perrache,,,,
Chenin,,,,
Courseules,,,,
Erguy,,,,
Gamay,,,,
Martel,https://warhammerfantasy.fandom.com/wiki/Martel,Martel,"Martel is a Bretonnian port city built on an abandoned settlement of the High Elves, once known as Tor Martel. Tor Martel was a High Elf port city and trading enclave that was located off the western coast of Bretonnia during the reign of Royarch Louen Orc-Slayer in the 23rd century IC.",https://static.wikia.nocookie.net/warhammerfb/images/a/a1/Tor_Martel_WC.jpg/revision/latest?cb=20250221114127
Merton,,,,
Nez-en-Bessant,,,,
Oisillon,https://warhammerfantasy.fandom.com/wiki/Oisillon,Oisillon,"Oisillon, also known as Ouisillion, is a Bretonnian castle located one hundred miles north-west of Gisoreux. It is the site of the Great Palace of Oisillon, where foppish noblemen whose only interests lay in carousing and drinking at the king's court, gather to meet King Charles de la Tête d'Or III.",
Portsall,,,,
Saint-Lambert,,,,
Salignac-La-Rouge,,,,
Saumiers,,,,
Sibourne,,,,
Soreil,https://warhammerfantasy.fandom.com/wiki/Soreil,Soreil,"Soreil, or Tor Soreil, as it was known by the High Elves when they first settled it, is a Bretonnian port city located in the Dukedom of Lyonesse. One of the few spheres of influence that the High Elves have on the shores of the Old World, the port-enclave of Tor Soleil is nestled within the lands of Lyonesse. Given the vast quantities of High Elven wine and finely-crafted garments imported from Ulthuan, this port is well-defended from external threats by its own garrison and the knights of Bretonnia.",
Thurin,,,,
Yremy,https://warhammerfantasy.fandom.com/wiki/Yremy,Yremy,"Heraldry of Mousillon Yremy is a Bretonnian town located not so very far from Mousillon, the legendary City of the Damned. Unfortunately, it is not far enough, at least in the opinion of its citizens.",https://static.wikia.nocookie.net/warhammerfb/images/5/55/Mousillon.png/revision/latest?cb=20160630072727
Clouseau,,,,
Sigmarsheim,https://warhammerfantasy.fandom.com/wiki/Sigmarsheim,Sigmarsheim,"Sigmarsheim is a little outpost of the Empire in the Forest of Arden. Fifty years ago, a Bretonnian Knight Errant made many friends in the Empire and brought them back with him when he returned to set up his fief. He claimed a site within the forest and settled his friends as peasants but with customs of freedom copied from the charters of various Imperial cities.",
Abois,,,,
Acques,,,,
Aix Fronnard,https://warhammerfantasy.fandom.com/wiki/Aix_Fronnard,Aix Fronnard,,
Alembençon,,,,
Alençon,,,,
Aubenas,,,,
Bergerac,https://warhammerfantasy.fandom.com/wiki/Bergerac,Bergerac,,
Brillionne,,,,
Castellet,,,,
Cavour,https://warhammerfantasy.fandom.com/wiki/Cavour,Cavour,"Cavour is a Bretonnian village in the Grand-Duchy of Savoie. Its ruler is Count Camil Bensò, a Knight of the Realm. Cavour's name is a tribute to Camillo Benso, Count of Cavour, an Italian politician, businessman, economist and noble, and a leading figure in the movement towards Italian unification in the mid-nineteenth century.",
Chambourg,,,,
Chantillon,https://warhammerfantasy.fandom.com/wiki/Chantillon,Chantillon,"Chantillon as depicted in Man O' War: Corsair. Chantillon is a Bretonnian port city located in the Marches of Couronne. It has been recently plundered by the pirates of the Myrmidia's Vengeance, a 6-ton ship commanded by Captain Falco.",https://static.wikia.nocookie.net/warhammerfb/images/8/80/Chantillon.png/revision/latest?cb=20250129004332
Châtelon,,,,
Chimay,,,,
Chenin,,,,
Cixous,,,,
Coutras,,,,
D'Ason,,,,
Deauville,,,,
Derrevin Libre,https://warhammerfantasy.fandom.com/wiki/Derrevin_Libre,Derrevin Libre,"Derrevin Libre is a village in eastern Aquitaine where the peasants hold power. Their previous lord was truly repellent, and when the peasants rebelled, none of his neighbours cared to help him. As a result, for almost the first time, a peasant rebellion succeeded, exposing the lord as a servant of Nurgle and destroying him and his whole family.",
Descloux,,,,
Desroches,,,,
Embrun,,,,
Ferignac,,,,
Fluvia,,,,
Gânet,,,,
Gasgoigne,,,,
Gien,,,,
Grunère,,,,
Hautmont,,,,
Hendaye,https://warhammerfantasy.fandom.com/wiki/Hendaye,Hendaye,Hendaye as depicted in Man O' War: Corsair. Hendaye is a Bretonnian port city located in the Dukedom of Couronne near the Dragon's Maw. Hendaye features a large central square dominated by a statue of a Pegasus.,https://static.wikia.nocookie.net/warhammerfb/images/2/22/Hendaye.png/revision/latest?cb=20250129015311
Jouinard,,,,
Laguiller,,,,
Malmont,https://warhammerfantasy.fandom.com/wiki/Malmont,Malmont,,
Mayenne,,,,
Mercal,,,,
Montdidier,,,,
Monthac,,,,
Montjoie,,,,
Montluc,,,,
Mortaise,,,,
Moutier,,,,
Mufflons,,,,
Muret,,,,
Naizon,,,,
Ora Lamae,https://warhammerfantasy.fandom.com/wiki/Ora_Lamae,Ora Lamae,"Ora Lamae is a very tiny city in Bretonnia, between L'Anguille and the ruins of once-great Mousillon. The city has fallen after many generations into the untender care of Bayard Solon, who governs his lands in the name of Charles II, the father of the vainglorious king, Charles de la Tête d'Or III.",
Outremer,,,,
Poussenc,,,,
Poussene,,,,
Rochefort,,,,
Rondeau,,,,
Saint-Jacques,,,,
Serrac,https://warhammerfantasy.fandom.com/wiki/Serrac,Serrac,"In L'Anguille, Serrac is a typical Bretonnian village. Its precise layout is unimportant, so there is no detailed map, but the general shape of the village does matter. Serrac is home to about three hundred peasants who live in a few dozen hovels gathered around a rather muddy village green.",
Soude,,,,
Tharravil,https://warhammerfantasy.fandom.com/wiki/Tharravil,Tharravil,"Tharravil is a mountain village sitting on top of the richest goldmine in the world. The peasants' houses are roofed in gold, and all their domestic utensils are made of the metal. The village itself is built up the side of a shining white mountain, and a stream falls through the centre in a series of picturesque waterfalls.",
Uesin,https://warhammerfantasy.fandom.com/wiki/Uesin,Uesin,"Uesin is a forlorn Bretonnian settlement comprised entirely of mutants who have fled there from across the kingdom. Rumours of a city of Beastmen within the Forest of Arden in Bretonnia have circulated for years, possibly centuries. Whilst they cannot be proved to be false, they are extremely unlikely; Beastmen do not have the right mentality to build cities.",
Valois,,,,
Vergirac,,,,
Vingtiennes,,,,
Wainfleet,https://warhammerfantasy.fandom.com/wiki/Wainfleet,Wainfleet,,
