settlement,url,title,description,image
Karaz-a-Karak,https://warhammerfantasy.fandom.com/wiki/Karaz-a-Karak,Karaz-a-Karak,"Karaz-a-Karak, also spelled Caraz-a-Carak, which translates roughly as "" Everpeak "", or the "" Pinnacle of Mountains "" in the Dwarf tongue Khazalid, is the greatest city of the Dwarf people and the seat of power for High King Thorgrim Grudgebearer of the Karaz Ankor. Karaz-a-Karak is the mightiest and most populous of all Dwarf holds, the capital of the Dwarf empire of Karaz Ankor and the capital hold of the Dwarf high king.",https://static.wikia.nocookie.net/warhammerfb/images/5/5e/Karaz-a-Karak_Gates_6th_Edition.jpg/revision/latest?cb=20151214230954
Zhufbar,https://warhammerfantasy.fandom.com/wiki/Zhufbar,Zhufbar,"Zhufbar ( Khazalid for ""Torrent-gate"") is a Dwarf hold of the Karaz Ankor and the twin of neighbouring Karak Varn where the metals, gromril in particular, mined out from beneath Karak Varn are smelted and forged into the weapons and armour which make the Dwarfs famous.",https://static.wikia.nocookie.net/warhammerfb/images/1/19/Dwarf_zhufbar.jpg/revision/latest?cb=20140805132000
Karak Kadrin,https://warhammerfantasy.fandom.com/wiki/Karak_Kadrin,Karak Kadrin,"Karak Kadrin, which means "" Hold of the Mountain Pass "" in Khazalid, also known as "" Slayers Keep,"" is a Dwarf hold which guards a region of mountainous passes known simply as Peak Pass, an important trading route which runs through the Worlds Edge Mountains from the distant east to the Old World.",https://static.wikia.nocookie.net/warhammerfb/images/9/98/Dwarf_KadrinValley01.jpg/revision/latest?cb=20140805185213
Khazid Rhyn,,,,
Karak Eight Peaks,https://warhammerfantasy.fandom.com/wiki/Karak_Eight_Peaks,Karak Eight Peaks,"Karak Eight Peaks, now called the City of Pillars by the Skaven who currently rule it, is the Dwarf hold originally known as Vala-Azril-Ungol, ""Queen of the Silver Depths"" in Khazalid, the Dwarf tongue. Karaz Eight Peaks was once one of the greatest kingdoms ever created by the Dwarfs of the Golden Age, rivaling even their capital city of Karaz-a-Karak in terms of sheer power, wealth, and beauty.",https://static.wikia.nocookie.net/warhammerfb/images/4/4e/K8P_inside.png/revision/latest?cb=20200326031012
Karak Azul,https://warhammerfantasy.fandom.com/wiki/Karak_Azul,Karak Azul,"Karak Azul ("" Iron Peak "" in Khazalid ) is a Dwarf hold located in the southern Worlds Edge Mountains. It is the only southern karak still ruled by the Dwarfs. The territories of the High Elves of Ulthuan and the Dwarfs of the Karaz Ankor in the Old World at the dawn of the War of the Beard.",https://static.wikia.nocookie.net/warhammerfb/images/3/32/Karak_Azul.PNG/revision/latest?cb=20151004194357
Kazad Migdhal,,,,
Barak Varr,https://warhammerfantasy.fandom.com/wiki/Barak_Varr,Barak Varr,"Barak Varr, which means the "" Gate to the Sea "" in Khazalid, is unique amongst the Dwarf holds of the Karaz Ankor for being the only hold built to serve as a great harbour. Approaching from the land there is no indication at all of the busy port that lies ahead. In fact, even standing on the cliff edge it seems to the unsuspecting eye that the ships are destined to smash themselves into the cliff face.",https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Khazid Varrwyndak,,,,
Karak Hirn,https://warhammerfantasy.fandom.com/wiki/Karak_Hirn,Karak Hirn,"Karak Hirn, ("" Hornhold "" in Khazalid ), is the biggest and most important Dwarf hold in the Black Mountains between the northern Border Princes and the southern borders of the Empire. The hold is currently ruled by King Alrik Ranulfsson of Clan Drazhkarak and his wife, Queen Winnifer Falxenheir.",https://static.wikia.nocookie.net/warhammerfb/images/7/73/Karak_Hirn_banner.png/revision/latest?cb=20210325232846
Grung Rakadem,,,,
Khazid Grentaz,,,,
Khazid Svarkungor,,,,
Karak Angazbar,,,,
Grung Tepskaf,,,,
Kazad Nardak,,,,
Migdhal Vongalbavak,,,,
Karak Gantuk,https://warhammerfantasy.fandom.com/wiki/Karak_Gantuk,Karak Gantuk,"Karak Gantuk ("" Gap Hold "" in Khazalid ) is a small Dwarf hold located in the central Black Mountains.",https://static.wikia.nocookie.net/warhammerfb/images/a/ad/Warhammer_Black_Mountains.png/revision/latest?cb=20170408202909
Grung Trag,,,,
Khazid Hafak,,,,
Kazad Zhum,,,,
